"","ENGINE","Date","year","gp_name","circuit","Pos","Driver","Time","Kph","race_pos","exp","circuit_length","points","race_points","wdc_points","wdc_points_shift","new_team","new_engine","team_index","driver_index","engine_index","race_index"
"108","Alfa Romeo ",1950-07-02,1950,"french-grand-prix","Reims-Gueux",1,"Juan Manuel Fangio",150.6,186.812,1,5,8.18737912037037,1,9,26,17,"Alfa Romeo SpA","Alfa Romeo ",1,2,1,5
"109","Alfa Romeo ",1950-07-02,1950,"french-grand-prix","Reims-Gueux",2,"Nino Farina",152.5,184.485,7,5,8.18737912037037,0,0,0,0,"Alfa Romeo SpA","Alfa Romeo ",1,24,1,5
"110","Talbot CV",1950-07-02,1950,"french-grand-prix","Reims-Gueux",6,"Louis Rosier",166,169.481,6,5,8.18737912037037,0,0,10,10,"Other","Talbot CV",2,5,3,5
"111","Maserati",1950-09-03,1950,"italian-grand-prix","Autodromo Nazionale Monza",17,"Emmanuel de Graffenried",134.4,168.75,6,4,6.29998271904762,0,0,0,0,"Other","Maserati",2,16,2,5
"112","Maserati",1950-09-03,1950,"italian-grand-prix","Autodromo Nazionale Monza",19,"Louis Chiron",137.2,165.306,99,5,6.29998271904762,0,0,4,4,"Officine Alfieri Maserati","Maserati",3,6,2,5
"113","Simca-Gordini",1951-09-16,1951,"italian-grand-prix","Autodromo Nazionale Monza",12,"Maurice Trintignant",128.9,175.949866474565,99,5,6.29998271904762,0,0,0,0,"Equipe Gordini","Simca-Gordini",6,27,7,5
"114","Simca-Gordini",1951-09-16,1951,"italian-grand-prix","Autodromo Nazionale Monza",13,"Robert Manzon",129,175.813471229236,99,6,6.29998271904762,0,0,0,0,"Equipe Gordini","Simca-Gordini",6,15,7,5
"115","Ferrari",1951-05-27,1951,"swiss-grand-prix","Circuit Bremgarten",3,"Luigi Villoresi",159.3,164.519269220603,99,4,7.2799776630117,0,0,4,4,"Ferrari","Ferrari",5,13,6,5
"116","Ferrari",1951-05-27,1951,"swiss-grand-prix","Circuit Bremgarten",10,"RudI Fischer",174.1,150.533713881919,11,1,7.2799776630117,0,0,0,0,"Other","Ferrari",2,39,6,5
"117","Alta",1952-05-18,1952,"swiss-grand-prix","Circuit Bremgarten",9,"Stirling Moss",176.4,148.570972714524,99,2,7.2799776630117,0,0,0,0,"HW Motors","Alta",8,40,5,5
"118","Alta",1952-05-18,1952,"swiss-grand-prix","Circuit Bremgarten",10,"George Abecassis",176.9,148.151043453036,99,2,7.2799776630117,0,0,0,0,"HW Motors","Alta",8,48,5,5
"119","Alta",1952-05-18,1952,"swiss-grand-prix","Circuit Bremgarten",12,"Lance Macklin",180.2,145.437955531865,99,1,7.2799776630117,0,0,0,0,"HW Motors","Alta",8,49,5,5
"120","Gordini ",1952-08-17,1952,"dutch-grand-prix","Circuit Zandvoort",5,"Maurice Trintignant",113,133.581837727061,6,10,4.1929854619883,0,0,0,0,"Equipe Gordini","Gordini ",6,27,8,5
"121","Gordini ",1952-08-17,1952,"dutch-grand-prix","Circuit Zandvoort",6,"Jean Behra",114.5,131.831857320156,99,5,4.1929854619883,0,0,4,4,"Equipe Gordini","Gordini ",6,47,8,5
"122","Gordini ",1952-08-17,1952,"dutch-grand-prix","Circuit Zandvoort",8,"Robert Manzon",114.8,131.487348982212,5,13,4.1929854619883,1,2,6,4,"Equipe Gordini","Gordini ",6,15,8,5
"123","Gordini ",1952-08-17,1952,"dutch-grand-prix","Circuit Zandvoort",11,"Paul Frere",118.2,127.705140974263,99,3,4.1929854619883,0,0,0,0,"Other","Gordini ",2,63,8,5
"124","Bristol",1953-01-18,1953,"argentine-grand-prix","Autódromo Juan y Oscar Gálvez",12,"Alan Brown",223.2,63.1030246875287,9,5,3.91238753062678,0,0,0,0,"Other","Bristol",2,50,9,5
"125","Bristol",1953-01-18,1953,"argentine-grand-prix","Autódromo Juan y Oscar Gálvez",13,"Adolfo Schwelm Cruz",223.7,62.9619808236764,99,1,3.91238753062678,0,0,0,0,"Other","Bristol",2,69,9,5
"126","Francis",1953-06-21,1953,"belgian-grand-prix","Circuit de Spa-Francorchamps",18,"Andre Pilette",323,157.374,11,2,14.1199603185579,0,0,0,0,"Other","Francis",2,82,10,5
"127","Mercedes",1954-09-05,1954,"italian-grand-prix","Autodromo Nazionale Monza",1,"Juan Manuel Fangio",119,190.588,1,28,6.29998271904762,1,8,33,25,"Daimler Benz AG","Mercedes",10,2,11,5
"128","Mercedes",1954-09-05,1954,"italian-grand-prix","Autodromo Nazionale Monza",8,"Hans Herrmann",121.4,186.82,4,5,6.29998271904762,1,3,7,4,"Daimler Benz AG","Mercedes",10,74,11,5
"129","Alfa Romeo ",1950-09-03,1950,"italian-grand-prix","Autodromo Nazionale Monza",1,"Juan Manuel Fangio",118.6,191.231,99,6,6.29998271904762,0,0,26,26,"Alfa Romeo SpA","Alfa Romeo ",1,2,1,6
"130","Alfa Romeo ",1950-09-03,1950,"italian-grand-prix","Autodromo Nazionale Monza",3,"Nino Farina",120.2,188.685,1,6,6.29998271904762,1,8,8,0,"Alfa Romeo SpA","Alfa Romeo ",1,24,1,6
"131","Alfa Romeo ",1950-09-03,1950,"italian-grand-prix","Autodromo Nazionale Monza",4,"Consalvo Sanesi",120.4,188.372,99,1,6.29998271904762,0,0,0,0,"Alfa Romeo SpA","Alfa Romeo ",1,26,1,6
"132","Talbot CV",1950-09-03,1950,"italian-grand-prix","Autodromo Nazionale Monza",13,"Louis Rosier",133.4,170.014,4,6,6.29998271904762,1,3,13,10,"Ecurie Rosier","Talbot CV",7,5,3,6
