"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"153","2","14","Alberto Ascari","Italy","Scuderia Ferrari","77","3:23:09.200","+ 58.200","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"154","2","14","Jose Froilan Gonzalez","Argentina","Scuderia Ferrari","77","3:23:09.200","+ 58.200","+ 58.200","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"155","3","10","Luigi Villoresi","Italy","Scuderia Ferrari","74","","3 Laps","3 Laps","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"156","4","26","Reg Parnell","Great Britain","G A Vandervell","73","","4 Laps","1 Lap","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"157","5","2","Nino Farina","Italy","Alfa Romeo SpA","73","","4 Laps","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"158","6","42","Louis Chiron","Monaco","Ecurie Rosier","71","","6 Laps","2 Laps","","2:46.400","18","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"159","7","46","Yves Giraud-Cabantous","France","Yves Giraud-Cabantous","71","","6 Laps","","","2:49.700","24","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"160","8","44","Eugene Chaboud","France","Eugene Chaboud","69","","8 Laps","2 Laps","","2:50.200","40","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"161","9","48","Guy Mairesse","France","Yves Giraud-Cabantous","66","","11 Laps","3 Laps","","2:57.500","10","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"162","10","6","Consalvo Sanesi","Italy","Alfa Romeo SpA","58","","19 Laps","8 Laps","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"163","11","4","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","55","","22 Laps","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"164","11","4","Luigi Fagioli","Italy","Alfa Romeo SpA","55","","22 Laps","3 Laps","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
